ID,Company.Name,Subsidiary.Name,Search,Share,Company.Type,Source,Notes,Country.of.Headquarters,Rystad.Upstream.Industry.Segment,Type.of.Subsidiary,Hydrocarbons.Production.in.2022..Oil..Gas..Condensate..NGL.,Production.Countries,Fracking,Tar.Sands,Coalbed.Methane,Extra.Heavy.Oil,Ultra.Deepwater,Arctic,Unconventional.Production,Resources.under.Development.and.Field.Evaluation.as.of.September.2023,Expansion.Countries,Unconventional.Expansion,X1.5�.C.Expansion.Overshoot.based.on.IEA.NZE..2021.2022.,Exploration.CAPEX.3.year.average..2021.2023.,Exploration.Countries,Fossil.Fuel.Share.of.Revenue,Data.Description,Reporting.Year,Project.Names,Project.Risks,Project.Descriptions,Remarks,GOGEL.ID,Upstream.Row.ID,RIC
1,Government of Saudi Arabia,Saudi Arabian Oil Company (Saudi Aramco),Saudi Arabian Oil(Saudi Aramco|Aramco),0.81,Parent,,,Saudi Arabia,NOC,,"4798,2","Neutral Zone (Saudi Arabia/Kuwait), Saudi Arabia","0,21%",0%,0%,0%,0%,0%,"0,21%","16802,18","Neutral Zone (Saudi Arabia/Kuwait), Saudi Arabia","2,88%","44,3%","2765,84",Saudi Arabia,"99,23%",exact number,FY22,,,,,100001,548,2222.SE
2,PJSC Gazprom,PJSC Gazprom,Gazprom,1,Parent,,,Russia,NOC,,"3176,82","Bolivia, Iraq, Libya, Netherlands, Russia, United Kingdom, Uzbekistan, Vietnam","3,39%",0%,0%,0%,0%,"66,35%","66,39%","10734,7","Russia, Uzbekistan","80,28%","25,89%","542,7","Bolivia, Libya, Netherlands, Russia, United Kingdom, Venezuela, Vietnam","95,23%",exact lower bound,FY22,"Nord Stream 2, Amazon Oil and Gas Drilling","Environmental Destruction, Social Harm",https://gogel.org/lookup/100002,,100002,480,GAZP.MM
3,Ministry of Petroleum of Iran,National Iranian Oil Company (NIOC),National Iranian(NIOC),1,Parent,,,Iran,NOC,,"2822,63","Azerbaijan, Iran, United Kingdom",0%,0%,0%,0%,0%,0%,0%,"6426,64",Iran,not applicable,"58,64%","47,8","Azerbaijan, Iran, United Kingdom",90%,estimated lower bound interval,,Southern Gas Corridor,"Environmental Destruction, Litigation, Social Harm",https://gogel.org/lookup/100003,,100003,385,4296684146
4,State-owned Assets Supervision and Administration Commission of the State Council,China National Petroleum Corporation (CNPC),China National Petroleum Corporation(CNPC),1,Parent,,,China,INOC,,"2238,76","Algeria, Angola, Australia, Azerbaijan, Brazil, Cameroon, Canada, China, Colombia, Ecuador, Egypt, Gabon, Indonesia, Iraq, Kazakhstan, Mexico, Mongolia, Nigeria, Russia, South Sudan, Syria, Trinidad and Tobago, United Kingdom, USA, Yemen","16,45%","0,18%","0,21%","3,51%","0,51%","1,56%","22,42%","6483,61","Brazil, Canada, China, Indonesia, Iraq, Kazakhstan, Niger, Qatar, Russia, UAE, Venezuela","72,45%","57,15%","5913,28","Afghanistan, Australia, Brazil, Canada, China, Ecuador, Indonesia, Kazakhstan, Mongolia, Myanmar, Niger, Oman, Peru, Russia, South Sudan, Sudan, Thailand, UAE, Uzbekistan, Venezuela","99,18%",exact number,FY22,"Scarborough Gas, Cabo Delgado, Yamal LNG and Arctic LNG 2, Myanmar Military, Alberta Tar Sands, Amazon Oil and Gas Drilling, Xinjiang","Environmental Destruction, Litigation, Social Harm, Conflict/Violence",https://gogel.org/lookup/100045,,100045,108,ChiNaP.UNL
5,State-owned Assets Supervision and Administration Commission of the State Council,PetroChina Company Ltd,PetroChina,1,Parent,,,China,INOC,Subsidiary,"2008,35","Algeria, Australia, Canada, Chad, China, Indonesia, Iraq, Kazakhstan, Niger, Oman, Peru, Turkmenistan, UAE, Uzbekistan, Venezuela, Vietnam","18,34%","0,2%","0,23%","3,13%",0%,0%,"21,9%","4699,82","Canada, China, Indonesia, Iraq, Kazakhstan, Niger, UAE","72,29%","73,3%","5885,5","Australia, Brazil, Canada, China, Indonesia, Kazakhstan, Niger, Oman, Peru, Venezuela","88,6%",estimated lower bound,FY22,"Scarborough Gas, Alberta Tar Sands, Amazon Oil and Gas Drilling, Xinjiang","Environmental Destruction, Litigation, Social Harm, Conflict/Violence",https://gogel.org/lookup/100004,,100004,110,601857.SS
6,Exxon Mobil Corporation,Exxon Mobil Corporation,Exxon Mobil(ExxonMobil),1,Parent,,,USA,Major,,"1633,88","Angola, Argentina, Australia, Azerbaijan, Canada, Equatorial Guinea, Germany, Guyana, Indonesia, Iraq, Kazakhstan, Malaysia, Mozambique, Netherlands, Nigeria, Papua New Guinea, Qatar, Russia, Thailand, UAE, United Kingdom, USA, Yemen","24,18%","10,37%","0,04%","0,7%","4,44%","2,46%","42,19%","7929,12","Angola, Argentina, Azerbaijan, Brazil, Canada, Guyana, Indonesia, Iraq, Kazakhstan, Netherlands, Nigeria, Papua New Guinea, Qatar, UAE, USA","66,74%","55,2%","1355,4","Angola, Argentina, Australia, Azerbaijan, Brazil, Canada, China, Colombia, Republic of the Congo, Cyprus, Egypt, Equatorial Guinea, Germany, Ghana, Greece, Guyana, Indonesia, Iraq, Ireland, Kazakhstan, Malaysia, Mauritania, Mozambique, Namibia, Netherlands, Nigeria, Nigeria/Sao Tome and Principe, Papua New Guinea, Romania, Russia, Somalia, Suriname, Tanzania, Thailand, United Kingdom, USA, Vietnam","92,32%",exact lower bound,FY22,"Vaca Muerta, Guyana Offshore, Cabo Delgado, Alberta Tar Sands, Permian Basin","Conflict/Violence, Environmental Destruction, Litigation, Social Harm",https://gogel.org/lookup/100006,,100006,222,XOM.N
7,PJSC Rosneft Oil Company,PJSC Rosneft Oil Company,Rosneft,1,Parent,,,Russia,NOC,,"1606,62","Egypt, Iraq, Kazakhstan, Russia",0%,0%,0%,"1,14%",0%,"19,49%","19,49%","2019,62","Brazil, Russia","32,77%","78,14%","646,1","Brazil, Egypt, Iraq, Kazakhstan, Mozambique, Myanmar, Russia, Venezuela, Vietnam",90%,estimated lower bound interval,FY22,,,,,100005,485,ROSN.MM
8,Chevron Corporation,Chevron Corporation,Chevron,1,Parent,,,USA,Major,,"1317,5","Angola, Argentina, Australia, Bangladesh, Canada, China, Republic of the Congo, Equatorial Guinea, Indonesia, Iraq, Israel, Kazakhstan, Myanmar, Neutral Zone (Saudi Arabia/Kuwait), Nigeria, Thailand, United Kingdom, USA, Venezuela","30,13%","1,59%",0%,"4,35%","6,46%","0,23%","42,76%","5914,17","Angola, Argentina, Canada, Equatorial Guinea, Israel, Kazakhstan, USA","78,07%","53,85%","1040,81","Angola, Argentina, Australia, Bangladesh, Brazil, Canada, China, Colombia, Republic of the Congo, Cyprus, Egypt, Equatorial Guinea, Indonesia, Iraq, Israel, Kazakhstan, Mexico, Myanmar, Namibia, Nigeria, Suriname, Thailand, United Kingdom, USA, Venezuela","92,64%",estimated lower bound,FY22,"Scarborough Gas, Vaca Muerta, Alberta Tar Sands, Permian Basin","Litigation, Environmental Destruction, Social Harm",https://gogel.org/lookup/100008,,100008,105,CVX.N
9,Shell plc,Shell plc,Shell,1,Parent,,,United Kingdom,Major,,"1249,27","Argentina, Australia, Bolivia, Brazil, Brunei, Canada, China, Egypt, Germany, Iraq, Italy, Kazakhstan, Malaysia, Netherlands, Nigeria, Norway, Oman, Peru, Qatar, Russia, Syria, Trinidad and Tobago, Tunisia, UAE, United Kingdom, USA","3,76%","0,84%","4,68%","2,43%","17,54%","0,97%","30,2%","5653,5","Argentina, Australia, Brazil, Brunei, Canada, Egypt, Kazakhstan, Malaysia, Netherlands, Nigeria, Norway, Oman, Qatar, Syria, Trinidad and Tobago, United Kingdom, USA","36,1%","66,47%","2015,42","Albania, Algeria, Argentina, Australia, Barbados, Bolivia, Brazil, Brunei, Bulgaria, Canada, China, Colombia, Cyprus, Egypt, Germany, Indonesia, Italy, Kazakhstan, Malaysia, Mauritania, Mexico, Myanmar, Namibia, Netherlands, Nigeria, Norway, Oman, Philippines, Qatar, Russia, Sao Tome and Principe, Somalia, South Africa, Suriname, Tanzania, Thailand, Trinidad and Tobago, United Kingdom, USA, Uruguay","84,28%",estimated lower bound,FY22,"Scarborough Gas, Vaca Muerta, Alberta Tar Sands, Verde Island Passage, South Africa Offshore","Social Harm, Environmental Destruction, Litigation",https://gogel.org/lookup/100007,,100007,560,SHEL.L
10,Ministry of Oil of Kuwait,Kuwait Petroleum Corporation (KPC),Kuwait Petroleum Corporation(KPC),1,Parent,,,Kuwait,NOC,,"1212,49","Australia, Canada, China, Egypt, Indonesia, Kuwait, Malaysia, Neutral Zone (Saudi Arabia/Kuwait), Norway, Pakistan, Yemen","0,53%",0%,0%,"1,54%",0%,0%,"2,07%","2114,29","Australia, Canada, Kuwait, Malaysia, Neutral Zone (Saudi Arabia/Kuwait), Norway, Pakistan","1,76%","14,2%","257,66","Australia, Canada, China, Egypt, Indonesia, Kuwait, Malaysia, Norway, Pakistan, United Kingdom","98,92%",exact lower bound,FY20-21,,,,,100009,337,IPO-KUWP.KW
