Parent,Renewables production [PJ],Hydrocarbon production [PJ],% Production from Renewables
Abu Dhabi National Energy Company PJSC (TAQA),19.81,239.76,7.63%
Pampa Energia SA,11.41,144.30,7.33%
Mitsui & Co Ltd,21.26,479.52,4.25%
Mitsubishi Corporation,19.74,479.52,3.95%
Indian Oil Corporation Ltd,1.90,51.06,3.58%
Galp Energia SGPS SA,8.42,270.84,3.01%
Tokyo Gas Co Ltd,4.34,175.38,2.41%
Origin Energy Ltd,3.92,217.56,1.77%
Vitol Holding II SA,2.20,155.40,1.40%
Osaka Gas Co Ltd (Daigas Group),1.94,137.64,1.39%
TotalEnergies SE,68.04,"5,512.26",1.22%
Mubadala Petroleum LLC (Mubadala Energy),11.15,954.60,1.15%
Oil India Ltd,1.50,133.20,1.11%
ITOCHU Corporation,2.61,244.20,1.06%
Repsol SA,14.12,"1,329.78",1.05%
PT Pertamina (Persero),17.22,"2,317.68",0.74%
YPF SA,6.52,"1,116.66",0.58%
Reliance Industries Ltd,1.14,264.18,0.43%
QatarEnergy,7.16,"1,747.14",0.41%
Eni SpA,14.33,"3,674.10",0.39%
PT Medco Daya Abadi Lestari,1.17,355.20,0.33%
BP plc,16.68,"5,134.86",0.32%
Shell plc,19.57,"6,196.02",0.31%
INPEX Corporation,2.68,"1,380.84",0.19%
Merit Energy Company LLC,0.37,228.66,0.16%
Equinor ASA,6.69,"4,622.04",0.14%
Abu Dhabi National Oil Company (ADNOC),8.02,"6,804.30",0.12%
Oil and Natural Gas Corporation Ltd (ONGC),0.90,790.32,0.11%
Empresa Nacional del Petroleo (ENAP),0.11,128.76,0.08%
NJSC Naftogaz of Ukraine,0.15,177.60,0.08%
PJSC LUKOIL,3.86,"5,494.50",0.07%
Enerplus Corporation,0.15,222.00,0.07%
Petroliam Nasional Bhd (Petronas),2.78,"5,396.82",0.05%
OMV AG,0.37,808.08,0.05%
PJSC Gazprom,6.16,"14,037.77",0.04%
CNOOC Ltd,1.80,"4,124.76",0.04%
China National Petroleum Corporation (CNPC),4.87,"14,472.18",0.03%
Ecopetrol,0.34,"1,576.20",0.02%
China Petrochemical Corporation (Sinopec Group),0.48,"3,065.82",0.02%
Suncor Energy Inc,0.16,"1,656.12",0.01%
Sonatrach SpA,0.55,"8,453.76",0.01%
Shaanxi Yanchang Petroleum (Group) Co Ltd,0.21,"4,917.30",0.00%
Chevron Corporation,0.13,"6,926.40",0.00%
Saudi Arabian Oil Company (Saudi Aramco),,"29,183.57",0.00%
National Iranian Oil Company (NIOC),,"17,167.78",0.00%
PetroChina Company Ltd,,"12,215.17",0.00%
Exxon Mobil Corporation,,"9,937.57",0.00%
PJSC Rosneft Oil Company,,"9,771.77",0.00%
Kuwait Petroleum Corporation (KPC),,"7,374.60",0.00%
Petroleo Brasileiro SA â€“ Petrobras,,"5,260.31",0.00%
Petroleos Mexicanos (PEMEX),,"5,055.82",0.00%
ConocoPhillips,,"4,524.72",0.00%
PAO NOVATEK,,"3,442.89",0.00%
Occidental Petroleum Corporation,,"3,202.94",0.00%
PJSC Surgutneftegas,,"2,912.94",0.00%
China Petroleum & Chemical Corporation (Sinopec Corp),,"2,911.61",0.00%
Canadian Natural Resources Ltd (CNRL),,"2,821.04",0.00%
Turkmengaz State Concern,,"2,653.54",0.00%
EOG Resources Inc,,"2,497.10",0.00%
Petoro AS,,"2,318.41",0.00%
EQT Corporation,,"2,248.04",0.00%
Southwestern Energy Company,,"2,088.32",0.00%
Nigerian National Petroleum Company Ltd (NNPC),,"2,044.10",0.00%
Petroleos de Venezuela SA (PDVSA),,"1,885.36",0.00%
Pioneer Natural Resources Company,,"1,808.66",0.00%
Chesapeake Energy Corporation,,"1,798.08",0.00%
Cenovus Energy Inc,,"1,743.58",0.00%
Basra Oil Company (BOC),,"1,669.20",0.00%
National Oil Corporation (NOC),,"1,667.31",0.00%
Coterra Energy Inc,,"1,660.62",0.00%
Devon Energy Corporation,,"1,643.65",0.00%
JSC Uzbekneftegaz,,"1,441.78",0.00%
Wintershall Dea AG,,"1,421.16",0.00%
PTT Exploration and Production Public Company Ltd (PTTEP),,"1,417.33",0.00%
Ovintiv Inc,,"1,411.43",0.00%
Antero Resources Corporation,,"1,359.37",0.00%
Energy Development Oman SAOC (EDO),,"1,338.63",0.00%
PJSC Tatneft,,"1,319.96",0.00%
Continental Resources Inc,,"1,291.55",0.00%
JSC NC KazMunayGas (KMG),,"1,217.59",0.00%
Tourmaline Oil Corp,,"1,114.87",0.00%
Diamondback Energy Inc,,"1,077.22",0.00%
State Oil Company of the Azerbaijan Republic (SOCAR),,"1,076.97",0.00%
Bapco Energies BSC,,"1,074.30",0.00%
APA Corporation,,"1,061.04",0.00%
JSC Independent Petroleum Company (NNK),,"1,050.27",0.00%
Hilcorp Energy Company,,"1,018.83",0.00%
Hess Corporation,,971.14,0.00%
Woodside Energy Group Ltd,,967.86,0.00%
Marathon Oil Corporation,,958.25,0.00%
Range Resources Corporation,,896.82,0.00%
Ascent Resources LLC,,894.63,0.00%
North Oil Company (NOC),,826.93,0.00%
Aethon Energy Management LLC,,825.41,0.00%
ARC Resources Ltd,,767.09,0.00%
Endeavour Energy Resources LP,,727.19,0.00%
Empresa Publica de Hidrocarburos del Ecuador (EP Petroecuador),,696.65,0.00%
CNX Resources Corporation,,673.06,0.00%
Aker BP ASA,,663.26,0.00%
Comstock Resources Inc,,636.56,0.00%
Mewbourne Oil Company,,624.15,0.00%
Perenco SA,,604.75,0.00%
Santos Ltd,,603.35,0.00%
Sonangol EP,,587.42,0.00%
PDC Energy Inc,,586.38,0.00%
TÃ¼rkiye Petrolleri AO (TPAO),,500.63,0.00%
OQ SAOC,,492.66,0.00%
Rockcliff Energy LLC,,488.28,0.00%
Vaar Energi ASA,,469.36,0.00%
Civitas Resources Inc,,457.44,0.00%
Harbour Energy plc,,450.08,0.00%
Murphy Oil Corporation,,443.09,0.00%
Gulfport Energy Corporation,,430.56,0.00%
Vietnam Oil and Gas Group (PetroVietnam),,429.04,0.00%
SM Energy Company,,408.72,0.00%
Irkutsk Oil Company LLC,,397.96,0.00%
